seed,ρ,σₐ²,σᵤ²,σₐ²hat,σᵤ²hat,LL
78,0.8785,3.6288344,3.6288344,4.4015230288969045,4.050556129466865,-338.8960538507398
79,0.8785,3.6288344,3.6288344,4.50102457281241,4.165237909758562,-342.11056718297766
80,0.8785,3.6288344,3.6288344,4.172111861900004,3.777235290464981,-330.91207413515974
81,0.8785,3.6288344,3.6288344,5.062639502785822,3.958690240308896,-340.17403056422387
82,0.8785,3.6288344,3.6288344,4.603118058374037,3.4,-320.55672381217545
83,0.8785,3.6288344,3.6288344,2.1591243430597187,3.539155616521872,-309.46950925838036
84,0.8785,3.6288344,3.6288344,4.747002771709371,3.523284052227811,-327.50403583232963
85,0.8785,3.6288344,3.6288344,3.8059799049502514,3.8820956606660006,-331.3123269898861
86,0.8785,3.6288344,3.6288344,2.479318870768345,3.5865964425025543,-313.77582091512335
87,0.8785,3.6288344,3.6288344,3.254238872224437,3.4,-313.23526502876786
88,0.8785,3.6288344,3.6288344,2.7496756930684687,3.966123050348016,-325.91096547225936
89,0.8785,3.6288344,3.6288344,4.095424139274162,3.4985825331504343,-323.14390550859827
90,0.8785,3.6288344,3.6288344,2.8686006536943895,3.788033666954563,-322.3674363785541
91,0.8785,3.6288344,3.6288344,3.3710449513680727,3.688588008828826,-323.509998690056
92,0.8785,3.6288344,3.6288344,4.054965485059826,3.4,-315.84442767005953
93,0.8785,3.6288344,3.6288344,3.084915917289031,3.6191136927711636,-319.5992905258532
94,0.8785,3.6288344,3.6288344,4.576137717641465,3.4,-318.78445132919865
95,0.8785,3.6288344,3.6288344,2.917985063252553,4.294545208216904,-335.01582269803174
96,0.8785,3.6288344,3.6288344,4.144293157660022,3.95029495277933,-335.03220268242615
97,0.8785,3.6288344,3.6288344,3.7070696464894506,3.535185655604291,-321.69834019763925
98,0.8785,3.6288344,3.6288344,3.5937870807860137,3.42434757574218,-317.8954632820214
99,0.8785,3.6288344,3.6288344,3.6161413966931417,3.5509413086306854,-321.52469931239966
100,0.8785,3.6288344,3.6288344,4.336776236684787,3.0706753901185646,-312.2015923887144
