seed,type,??²_estimate,??²_start,??²_estimate,??²_start,iterations,LL,V_norm_finalstep,b??,b??,b??,b??,??,??,runtime,notes,
real data,Estimated,0,25,5.3008034,100,4,-299,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:31:49,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.1,5.9309567,6,4,-303,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:13:43,Estimated parameters after convergence of the iterative method
real data,Estimated,0,1,8.7571219,10,4,-326,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:25:51,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.1,9.8898636,10,4,-335,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:14:53,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,12.3621404,25,4,-353,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:52:06,Estimated parameters after convergence of the iterative method
real data,Estimated,0,3,19.7256052,25,4,-396,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:39:02,Estimated parameters after convergence of the iterative method
real data,Estimated,0,1,23.4554089,25,4,-413,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:26:59,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,26.8527597,50,4,-427,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 22:06:20,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,38.1672827,50,4,-465,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:53:19,Estimated parameters after convergence of the iterative method
real data,Estimated,0,1,48.3785007,50,4,-491,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:28:18,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,88.7214105,100,4,-559,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:54:25,Estimated parameters after convergence of the iterative method
real data,Estimated,0,3,94.7848016,100,4,-567,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:41:32,Estimated parameters after convergence of the iterative method
real data,Estimated,0,1,98.3439456,100,4,-571,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:29:20,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.1,429.968612,0.01,4,-745,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:09:22,Estimated parameters after convergence of the iterative method
