seed,type,N,T,b₀ᵢ,β,ρ,σₐ,σᵤ,iterations,LL,V_norm_finalstep,V_norm_true,V
8,Estimated,2,50,"[-4.404889956754769, -0.40676107584359]","[1.0832659327845073, 0.09874081867103446]",0.8131773653176496,0.6016846921189708,1.0946773360475712,10,-78.63002566218877,1.3136219621242443e-6,108.1397154332211,
9,True,2,50,"[-2.627578050175094, 0.2635232095248958]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
9,Sample,2,50,,,,26.737333967821723,17.832115469077355,,,,,
9,Estimated,2,50,"[-1.9211895592711612, 1.1805230203316623]","[0.9191181842245243, 0.1017666712110221]",0.7824746020975878,0.8987011614159167,0.9160323848601447,9,-72.32801956677075,0.0,121.96279358233039,
10,True,2,50,"[3.4105665015215996, -0.5408033548378681]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
10,Sample,2,50,,,,18.347657118055157,17.720508986134455,,,,,
10,Estimated,2,50,"[4.892244586082751, 0.6889769591710557]","[0.8391012264640736, 0.1025770565600939]",0.749514100614586,0.45895852337044896,0.9939176843947419,10,-65.14843349425735,0.0,170.38684024764223,
1,True,2,100,"[-0.7058313895389791, 5.314767537831963]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
1,Sample,2,100,,,,60.09217539514779,43.32535794216938,,,,,
1,Estimated,2,100,"[1.009051231281194, 7.1128145856008]","[0.9662046644423505, 0.10003810310720168]",0.7768352778348622,0.7560170396729445,1.087457892394097,10,-161.7375729265981,0.0,180.91365066292565,
2,True,2,100,"[-0.05737244600260246, 17.35376213870901]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
2,Sample,2,100,,,,51.008226930404945,38.83773128415277,,,,,
2,Estimated,2,100,"[0.18894881311004152, 17.553432267089498]","[1.0284937683451034, 0.09995556436177253]",0.8125542707435778,0.9436307192018676,0.9743735282025634,10,-156.71654218587247,0.0,115.45459089356066,
3,True,2,100,"[-6.637635515551271, 13.632084599735597]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
3,Sample,2,100,,,,48.91227514413236,36.02329666298038,,,,,
3,Estimated,2,100,"[-6.125143199651194, 14.124630359710135]","[0.9893560109338406, 0.10005719763418841]",0.8262649157191353,0.6532330254109847,0.9787075025356052,6,-141.17718625580437,0.0,152.14702159883694,
4,True,2,100,"[17.07371258640649, 20.015123867881837]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
4,Sample,2,100,,,,60.82130293364291,40.35047535167506,,,,,
4,Estimated,2,100,"[15.87571044769185, 18.649170864875106]","[1.0853128926793887, 0.09912292322026144]",0.7497990464099663,0.9733732020474044,1.029904169563898,6,-164.5885863498464,0.0,184.03384718800402,
5,True,2,100,"[0.17205046232868315, 12.623658511338068]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
5,Sample,2,100,,,,41.209282936023264,41.43776178538562,,,,,
5,Estimated,2,100,"[0.08601207137724888, 12.596148904861552]","[1.0280564619182424, 0.09939957908468067]",0.7656752304595698,0.7985156558526821,1.0430082749413065,6,-157.043482374601,0.0,192.44520840247296,
6,True,2,100,"[-19.757885774187898, -0.9383409762557428]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
6,Sample,2,100,,,,48.174627266259286,39.729132737691515,,,,,
6,Estimated,2,100,"[-21.29569274722726, -2.6757109647180926]","[1.113112522200956, 0.0989997669733711]",0.704472647510961,1.0894335750436197,0.9437093004405235,5,-158.25696355236124,0.0,211.11105730588233,
7,True,2,100,"[-4.367936713637636, 19.856224858441557]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
7,Sample,2,100,,,,48.260160327417054,38.34063411068287,,,,,
